Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Xoài,Độ ẩm không khí cao,Bón phân hữu cơ,Tăng khả năng chống chịu với nảy mầm kém
Đậu phụng,Nhiều ngày nắng,Bắt sâu thủ công,Hạn chế ảnh hưởng của vàng lá
Cải bẹ,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Giảm nguy cơ suy kiệt
Cà chua,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Bảo vệ cây khỏi cháy lá
Cải bẹ,Gió mạnh,Tăng cường thoát nước,Tăng khả năng chống chịu với nấm bệnh
Chuối,Trời âm u,Phun thuốc phòng bệnh,Giúp cây tránh suy kiệt
Lúa,Nhiều ngày nắng,Tưới nhỏ giọt,Giảm nguy cơ nảy mầm kém
Cà tím,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Bảo vệ cây khỏi rụng hoa
Ngô,Trời âm u,Theo dõi sát thời tiết,Bảo vệ cây khỏi thiếu nước
Đậu phụng,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Bảo vệ cây khỏi cháy lá
Bắp cải,Nhiều ngày nắng,Tưới nước định kỳ,Bảo vệ cây khỏi đạo ôn
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với sốc nhiệt
Xoài,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của đạo ôn
Lúa,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Giảm nguy cơ héo rũ
Thanh long,Độ ẩm thấp,Phun thuốc phòng bệnh,Bảo vệ cây khỏi nảy mầm kém
Rau màu,Trời âm u,Che phủ rơm/gỗ mục,Giảm nguy cơ sốc nhiệt
Đậu phụng,Trời nhiều mây,Phun chế phẩm sinh học,Giảm nguy cơ bạc lá
Dưa leo,Nắng gắt,Bón phân hữu cơ,Tăng khả năng chống chịu với thiếu nước
Thanh long,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh đạo ôn
Sắn,Mưa rào nhẹ,Trì hoãn gieo trồng,Tăng khả năng chống chịu với sâu xanh
Ớt,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Chuối,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với vàng lá
Cà tím,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Tăng khả năng chống chịu với rụng hoa
Cải bẹ,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ suy kiệt
Chuối,Gió mạnh,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Dưa leo,Trời lạnh buổi sáng,Tưới nhỏ giọt,Tăng khả năng chống chịu với vàng lá
Ngô,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ bạc lá
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của héo rũ
Rau màu,Nắng gắt,Dừng bón phân đạm,Bảo vệ cây khỏi thiếu nước
Bắp cải,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giúp cây tránh vàng lá
Ớt,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của sốc nhiệt
Dưa leo,Độ ẩm không khí cao,Phun chế phẩm sinh học,Bảo vệ cây khỏi thiếu nước
Mía,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Bắp cải,Có áp thấp nhiệt đới,Tăng cường thoát nước,Giúp cây tránh vàng lá
Ớt,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi đạo ôn
Cà tím,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của thối rễ
Mía,Độ ẩm không khí cao,Bón phân hữu cơ,Giúp cây tránh sâu xanh
Dưa leo,Trời nhiều mây,Bón phân hữu cơ,Hạn chế ảnh hưởng của sâu xanh
Chuối,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Giúp cây tránh rụng hoa
Cà chua,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Giúp cây tránh héo rũ
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Bảo vệ cây khỏi cháy lá
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Giúp cây tránh đạo ôn
Bắp cải,Độ ẩm thấp,Tưới nhỏ giọt,Tăng khả năng chống chịu với nấm bệnh
Đậu phụng,Nhiều ngày nắng,Tăng cường thoát nước,Hạn chế ảnh hưởng của suy kiệt
Cải bẹ,Nắng gắt,Dừng bón phân đạm,Hạn chế ảnh hưởng của bạc lá
Chuối,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi nấm bệnh
Ngô,Mưa rào nhẹ,Dừng bón phân đạm,Tăng khả năng chống chịu với đạo ôn
Ngô,Nắng gắt,Tỉa thưa cây con,Tăng khả năng chống chịu với ngập úng
Lúa,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Tăng khả năng chống chịu với cháy lá
Chuối,Mưa lớn,Phun chế phẩm sinh học,Bảo vệ cây khỏi nấm bệnh
Xoài,Nắng nhẹ sau mưa,Tỉa thưa cây con,Giảm nguy cơ ngập úng
Sắn,Trời âm u,Dừng bón phân đạm,Giúp cây tránh héo rũ
Cà tím,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của héo rũ
Sắn,Nắng gắt,Che chắn bằng lưới,Bảo vệ cây khỏi suy kiệt
Đậu phụng,Độ ẩm thấp,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của thối rễ
Mía,Nắng gắt,Tăng cường thoát nước,Bảo vệ cây khỏi ngập úng
Cải bẹ,Độ ẩm không khí cao,Bón phân hữu cơ,Giúp cây tránh bạc lá
Cà chua,Mưa lớn,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với sốc nhiệt
Ớt,Mưa lớn,Tưới nước định kỳ,Giảm nguy cơ suy kiệt
Đậu phụng,Trời âm u,Bón vôi cải tạo đất,Giúp cây tránh bạc lá
Chuối,Nhiệt độ thấp < 15°C,Tưới nhỏ giọt,Bảo vệ cây khỏi héo rũ
Cà chua,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Giảm nguy cơ sốc nhiệt
Thanh long,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Giảm nguy cơ ngập úng
Dưa hấu,Sương mù dày,Phun thuốc phòng bệnh,Giúp cây tránh bạc lá
Ngô,Mưa rào nhẹ,Bắt sâu thủ công,Hạn chế ảnh hưởng của sốc nhiệt
Cà chua,Mưa rào nhẹ,Dừng bón phân đạm,Giúp cây tránh thối rễ
Dưa hấu,Nắng gắt,Tỉa thưa cây con,Giúp cây tránh héo rũ
Cải bẹ,Sương mù dày,Bắt sâu thủ công,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Nhiều ngày nắng,Tỉa thưa cây con,Tăng khả năng chống chịu với đạo ôn
Rau màu,Gió mạnh,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với rụng hoa
Dưa hấu,Độ ẩm không khí cao,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thiếu nước
Cải bẹ,Mưa lớn,Theo dõi sát thời tiết,Giúp cây tránh nấm bệnh
Cải bẹ,Mưa lớn,Bắt sâu thủ công,Hạn chế ảnh hưởng của sâu xanh
Rau màu,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi ngập úng
Thanh long,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Hạn chế ảnh hưởng của cháy lá
Ớt,Mưa rào nhẹ,Che chắn bằng lưới,Giúp cây tránh thối rễ
Đậu phụng,Độ ẩm không khí cao,Bón phân hữu cơ,Giúp cây tránh nảy mầm kém
Đậu phụng,Trời nhiều mây,Tưới nhỏ giọt,Bảo vệ cây khỏi đạo ôn
Dưa leo,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi cháy lá
Bắp cải,Độ ẩm thấp,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Dưa leo,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh bạc lá
Bắp cải,Sương mù dày,Bón phân hữu cơ,Giảm nguy cơ sâu xanh
Lúa,Nhiều ngày nắng,Che chắn bằng lưới,Giảm nguy cơ cháy lá
Dưa leo,Trời nhiều mây,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của nảy mầm kém
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giảm nguy cơ sâu xanh
Xoài,Nắng gắt,Bắt sâu thủ công,Hạn chế ảnh hưởng của nấm bệnh
Cải bẹ,Gió mạnh,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với vàng lá
Cà chua,Mưa lớn,Tưới nhỏ giọt,Bảo vệ cây khỏi thiếu nước
Ớt,Gió mạnh,Dừng bón phân đạm,Bảo vệ cây khỏi vàng lá
Dưa leo,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Tăng khả năng chống chịu với rụng hoa
Mía,Nhiệt độ cao > 35°C,Bón phân hữu cơ,Giảm nguy cơ héo rũ
Rau màu,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của suy kiệt
Cà tím,Độ ẩm thấp,Tưới nhỏ giọt,Tăng khả năng chống chịu với ngập úng
Cà tím,Độ ẩm không khí cao,Phun chế phẩm sinh học,Giảm nguy cơ bạc lá
Ngô,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giảm nguy cơ bạc lá
Cà chua,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giúp cây tránh nảy mầm kém
Lúa,Độ ẩm thấp,Bón phân hữu cơ,Giúp cây tránh ngập úng
Dưa hấu,Nắng nhẹ sau mưa,Bón phân hữu cơ,Hạn chế ảnh hưởng của vàng lá
Thanh long,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giúp cây tránh cháy lá
Sắn,Nhiều ngày nắng,Trì hoãn gieo trồng,Giảm nguy cơ héo rũ
Lúa,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Tăng khả năng chống chịu với héo rũ
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giúp cây tránh cháy lá
Dưa hấu,Nắng nhẹ sau mưa,Tăng cường thoát nước,Giúp cây tránh héo rũ
Cà tím,Nhiều ngày nắng,Trì hoãn gieo trồng,Giảm nguy cơ bạc lá
Mía,Nhiều ngày nắng,Bón phân hữu cơ,Hạn chế ảnh hưởng của rụng hoa
Đậu phụng,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với ngập úng
Bắp cải,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Giảm nguy cơ sốc nhiệt
Ngô,Gió mạnh,Che chắn bằng lưới,Hạn chế ảnh hưởng của ngập úng
Sắn,Trời âm u,Bón vôi cải tạo đất,Bảo vệ cây khỏi suy kiệt
Bắp cải,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thối rễ
Bắp cải,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giúp cây tránh sốc nhiệt
Ớt,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Ngô,Trời nhiều mây,Phun chế phẩm sinh học,Giúp cây tránh vàng lá
Thanh long,Trời âm u,Tỉa thưa cây con,Tăng khả năng chống chịu với thối rễ
Mía,Trời lạnh buổi sáng,Tưới nhỏ giọt,Bảo vệ cây khỏi héo rũ
Chuối,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Giúp cây tránh sốc nhiệt
Bắp cải,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với bạc lá
Đậu phụng,Độ ẩm không khí cao,Tưới nước định kỳ,Bảo vệ cây khỏi héo rũ
Chuối,Nắng gắt,Bón vôi cải tạo đất,Bảo vệ cây khỏi bạc lá
Dưa hấu,Độ ẩm thấp,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của cháy lá
Thanh long,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Bảo vệ cây khỏi sốc nhiệt
Xoài,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Tăng khả năng chống chịu với héo rũ
Sắn,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Giúp cây tránh nấm bệnh
Ngô,Độ ẩm thấp,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của héo rũ
Cải bẹ,Nắng nhẹ sau mưa,Tăng cường thoát nước,Giúp cây tránh sâu xanh
Thanh long,Trời âm u,Tưới nhỏ giọt,Tăng khả năng chống chịu với nấm bệnh
Dưa leo,Trời âm u,Che chắn bằng lưới,Tăng khả năng chống chịu với cháy lá
Ớt,Sương mù dày,Bắt sâu thủ công,Tăng khả năng chống chịu với nấm bệnh
Rau màu,Nhiều ngày nắng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của vàng lá
Ngô,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi nấm bệnh
Sắn,Độ ẩm thấp,Theo dõi sát thời tiết,Giúp cây tránh rụng hoa
Mía,Trời âm u,Che chắn bằng lưới,Bảo vệ cây khỏi nảy mầm kém
Cà tím,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi cháy lá
Mía,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Giảm nguy cơ sâu xanh
Thanh long,Độ ẩm không khí cao,Bón phân hữu cơ,Giúp cây tránh thiếu nước
Mía,Nắng nhẹ sau mưa,Tăng cường thoát nước,Giúp cây tránh rụng hoa
Thanh long,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Bảo vệ cây khỏi bạc lá
Cà chua,Gió mạnh,Phun chế phẩm sinh học,Giúp cây tránh thối rễ
Cải bẹ,Mưa lớn,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Bắp cải,Mưa lớn,Theo dõi sát thời tiết,Giảm nguy cơ đạo ôn
Mía,Trời nhiều mây,Tưới nhỏ giọt,Hạn chế ảnh hưởng của thiếu nước
Chuối,Gió mạnh,Phun chế phẩm sinh học,Giúp cây tránh vàng lá
Rau màu,Sương mù dày,Bắt sâu thủ công,Hạn chế ảnh hưởng của bạc lá
Cà tím,Độ ẩm không khí cao,Tưới nước định kỳ,Tăng khả năng chống chịu với héo rũ
Cà tím,Nhiệt độ cao > 35°C,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với vàng lá
Xoài,Nhiều ngày nắng,Phun thuốc phòng bệnh,Giúp cây tránh ngập úng
Ngô,Nắng gắt,Tưới nước định kỳ,Bảo vệ cây khỏi ngập úng
Ớt,Nhiều ngày nắng,Tưới nước định kỳ,Bảo vệ cây khỏi đạo ôn
Dưa leo,Trời lạnh buổi sáng,Tưới nhỏ giọt,Bảo vệ cây khỏi héo rũ
Ớt,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Bảo vệ cây khỏi nấm bệnh
Lúa,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Giảm nguy cơ cháy lá
Rau màu,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giúp cây tránh nấm bệnh
Ớt,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sâu xanh
Bắp cải,Mưa lớn,Tỉa thưa cây con,Tăng khả năng chống chịu với nảy mầm kém
Cà tím,Trời lạnh buổi sáng,Tỉa thưa cây con,Giúp cây tránh héo rũ
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Tỉa thưa cây con,Hạn chế ảnh hưởng của vàng lá
Rau màu,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Tăng khả năng chống chịu với cháy lá
Chuối,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nấm bệnh
Đậu phụng,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Bảo vệ cây khỏi suy kiệt
Sắn,Trời âm u,Theo dõi sát thời tiết,Bảo vệ cây khỏi nảy mầm kém
Rau màu,Trời nhiều mây,Che chắn bằng lưới,Giúp cây tránh nấm bệnh
Dưa hấu,Nắng gắt,Tăng cường thoát nước,Hạn chế ảnh hưởng của vàng lá
Ớt,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với vàng lá
Thanh long,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Tăng khả năng chống chịu với suy kiệt
Rau màu,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giúp cây tránh rụng hoa
Rau màu,Mưa rào nhẹ,Trì hoãn gieo trồng,Giảm nguy cơ vàng lá
Ớt,Nhiều ngày nắng,Tưới nhỏ giọt,Bảo vệ cây khỏi nảy mầm kém
Xoài,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nấm bệnh
Đậu phụng,Độ ẩm thấp,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi vàng lá
Cà tím,Độ ẩm không khí cao,Theo dõi sát thời tiết,Giảm nguy cơ suy kiệt
Thanh long,Độ ẩm không khí cao,Trì hoãn gieo trồng,Bảo vệ cây khỏi thiếu nước
Mía,Độ ẩm không khí cao,Dừng bón phân đạm,Giảm nguy cơ thiếu nước
Xoài,Nhiệt độ cao > 35°C,Bón phân hữu cơ,Tăng khả năng chống chịu với nảy mầm kém
Mía,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Bảo vệ cây khỏi sâu xanh
Dưa hấu,Mưa rào nhẹ,Bón phân hữu cơ,Hạn chế ảnh hưởng của thiếu nước
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Giảm nguy cơ nấm bệnh
Chuối,Độ ẩm thấp,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của héo rũ
Rau màu,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của thiếu nước
Mía,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Tăng khả năng chống chịu với vàng lá
Sắn,Nhiều ngày nắng,Trì hoãn gieo trồng,Giúp cây tránh vàng lá
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Tăng khả năng chống chịu với héo rũ
Bắp cải,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của đạo ôn
Lúa,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi sốc nhiệt
Bắp cải,Mưa rào nhẹ,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thiếu nước
Cải bẹ,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với suy kiệt
Xoài,Độ ẩm thấp,Tăng cường thoát nước,Hạn chế ảnh hưởng của nảy mầm kém
Sắn,Nhiệt độ thấp < 15°C,Tỉa thưa cây con,Tăng khả năng chống chịu với sâu xanh
Dưa hấu,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thối rễ
Thanh long,Độ ẩm thấp,Bón vôi cải tạo đất,Giảm nguy cơ cháy lá
Dưa leo,Mưa rào nhẹ,Trì hoãn gieo trồng,Giúp cây tránh sâu xanh
Xoài,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với ngập úng
Ngô,Mưa lớn,Phun thuốc phòng bệnh,Giúp cây tránh suy kiệt
Dưa hấu,Trời nhiều mây,Theo dõi sát thời tiết,Giảm nguy cơ nảy mầm kém
Sắn,Nhiều ngày nắng,Đào mương xung quanh ruộng,Giúp cây tránh sâu xanh
Cà chua,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với thối rễ
Cà chua,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của vàng lá
Thanh long,Nắng nhẹ sau mưa,Tưới nước định kỳ,Hạn chế ảnh hưởng của héo rũ
Mía,Nắng gắt,Phun thuốc phòng bệnh,Giảm nguy cơ rụng hoa
Mía,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Giúp cây tránh vàng lá
Thanh long,Độ ẩm thấp,Tưới nước định kỳ,Bảo vệ cây khỏi bạc lá
Ngô,Nắng gắt,Tưới nước định kỳ,Giúp cây tránh vàng lá
Dưa hấu,Nhiệt độ dao động mạnh trong ngày,Tỉa thưa cây con,Tăng khả năng chống chịu với vàng lá
Xoài,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Giảm nguy cơ thối rễ
Ớt,Nắng nhẹ sau mưa,Dừng bón phân đạm,Bảo vệ cây khỏi héo rũ
Chuối,Mưa lớn,Tỉa thưa cây con,Giúp cây tránh rụng hoa
Dưa leo,Trời lạnh buổi sáng,Dừng bón phân đạm,Giúp cây tránh rụng hoa
Ngô,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Giúp cây tránh bạc lá
Cải bẹ,Nắng gắt,Che chắn bằng lưới,Giảm nguy cơ thối rễ
Đậu phụng,Nhiệt độ cao > 35°C,Tỉa thưa cây con,Giảm nguy cơ ngập úng
Đậu phụng,Sương mù dày,Phun chế phẩm sinh học,Tăng khả năng chống chịu với đạo ôn
Dưa leo,Độ ẩm không khí cao,Dừng bón phân đạm,Giảm nguy cơ nấm bệnh
Cải bẹ,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giúp cây tránh rụng hoa
Đậu phụng,Nắng gắt,Che chắn bằng lưới,Bảo vệ cây khỏi thiếu nước
Thanh long,Nhiều ngày nắng,Đào mương xung quanh ruộng,Giảm nguy cơ bạc lá
Đậu phụng,Trời âm u,Tưới nhỏ giọt,Giảm nguy cơ đạo ôn
Xoài,Nhiều ngày nắng,Tưới nước định kỳ,Bảo vệ cây khỏi suy kiệt
Lúa,Mưa rào nhẹ,Tưới nước định kỳ,Giảm nguy cơ rụng hoa
Mía,Trời âm u,Tỉa thưa cây con,Hạn chế ảnh hưởng của rụng hoa
Cà chua,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Bảo vệ cây khỏi ngập úng
Dưa leo,Trời âm u,Tưới nhỏ giọt,Giảm nguy cơ thối rễ
Cà tím,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với sâu xanh
Rau màu,Độ ẩm không khí cao,Trì hoãn gieo trồng,Bảo vệ cây khỏi rụng hoa
Rau màu,Nhiệt độ dao động mạnh trong ngày,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ nảy mầm kém
Chuối,Sương mù dày,Tưới nhỏ giọt,Giúp cây tránh bạc lá
Xoài,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giúp cây tránh nảy mầm kém
Cà tím,Mưa lớn,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với đạo ôn
Mía,Sương mù dày,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với thiếu nước
Cải bẹ,Nắng nhẹ sau mưa,Dừng bón phân đạm,Giúp cây tránh ngập úng
Dưa hấu,Nắng nhẹ sau mưa,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Dưa hấu,Nhiệt độ cao > 35°C,Theo dõi sát thời tiết,Giúp cây tránh sốc nhiệt
Ớt,Trời nhiều mây,Tưới nhỏ giọt,Hạn chế ảnh hưởng của thối rễ
Thanh long,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Giảm nguy cơ sốc nhiệt
Xoài,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Giúp cây tránh sốc nhiệt
Rau màu,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Giảm nguy cơ vàng lá
Ớt,Nắng gắt,Phun thuốc phòng bệnh,Bảo vệ cây khỏi rụng hoa
Chuối,Độ ẩm thấp,Bón vôi cải tạo đất,Tăng khả năng chống chịu với nấm bệnh
Ngô,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Tăng khả năng chống chịu với thối rễ
Dưa hấu,Mưa lớn,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của bạc lá
Cà tím,Mưa lớn,Theo dõi sát thời tiết,Giúp cây tránh suy kiệt
Chuối,Trời lạnh buổi sáng,Bắt sâu thủ công,Giảm nguy cơ đạo ôn
Sắn,Trời âm u,Che phủ rơm/gỗ mục,Giảm nguy cơ đạo ôn
Rau màu,Trời nhiều mây,Phun thuốc phòng bệnh,Giảm nguy cơ rụng hoa
Cà chua,Độ ẩm thấp,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với nảy mầm kém
Rau màu,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của thối rễ
Ngô,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Giảm nguy cơ vàng lá
Dưa leo,Nhiều ngày nắng,Tỉa thưa cây con,Bảo vệ cây khỏi bạc lá
Bắp cải,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Bảo vệ cây khỏi thối rễ
Cà tím,Độ ẩm không khí cao,Phun chế phẩm sinh học,Giúp cây tránh ngập úng
Cà chua,Trời âm u,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi suy kiệt
Thanh long,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Bảo vệ cây khỏi rụng hoa
Chuối,Trời nhiều mây,Tưới nhỏ giọt,Giúp cây tránh thiếu nước
Mía,Sương mù dày,Theo dõi sát thời tiết,Bảo vệ cây khỏi héo rũ
Bắp cải,Nắng gắt,Che chắn bằng lưới,Tăng khả năng chống chịu với vàng lá
Đậu phụng,Mưa rào nhẹ,Tăng cường thoát nước,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Sương mù dày,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Cải bẹ,Mưa lớn,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của héo rũ
Chuối,Trời nhiều mây,Bắt sâu thủ công,Giảm nguy cơ rụng hoa
Sắn,Trời âm u,Theo dõi sát thời tiết,Giảm nguy cơ sốc nhiệt
Cà tím,Mưa rào nhẹ,Phun thuốc phòng bệnh,Giảm nguy cơ ngập úng
Thanh long,Nắng gắt,Bón phân hữu cơ,Tăng khả năng chống chịu với ngập úng
Rau màu,Mưa lớn,Bón phân hữu cơ,Bảo vệ cây khỏi ngập úng
Rau màu,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi vàng lá
Cải bẹ,Nhiệt độ cao > 35°C,Tỉa thưa cây con,Giúp cây tránh cháy lá
Xoài,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Bảo vệ cây khỏi đạo ôn
Thanh long,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh bạc lá
Cải bẹ,Nắng gắt,Tưới nước định kỳ,Bảo vệ cây khỏi thiếu nước
Bắp cải,Trời nhiều mây,Dừng bón phân đạm,Tăng khả năng chống chịu với ngập úng
Rau màu,Nắng nhẹ sau mưa,Bón phân hữu cơ,Giúp cây tránh rụng hoa
Dưa hấu,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của sốc nhiệt
Ớt,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của thiếu nước
Sắn,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Giảm nguy cơ bạc lá
Ngô,Mưa lớn,Tưới nhỏ giọt,Tăng khả năng chống chịu với ngập úng
